http://purl.obolibrary.org/obo/CHEBI_25585,CHEBI:25585,nonmetal atom
http://purl.obolibrary.org/obo/CHEBI_33250,CHEBI:33250,atom
http://purl.obolibrary.org/obo/CHEBI_28616,CHEBI:28616,carbamic acid
http://purl.obolibrary.org/obo/CHEBI_35605,CHEBI:35605,carbon oxoacid
http://purl.obolibrary.org/obo/CHEBI_64708,CHEBI:64708,one-carbon compound
http://purl.obolibrary.org/obo/CHEBI_35352,CHEBI:35352,organonitrogen compound
http://purl.obolibrary.org/obo/PO_0030108,PO:0030108,berry fruit
http://purl.obolibrary.org/obo/PO_0009001,PO:0009001,fruit
http://purl.obolibrary.org/obo/PO_0030104,PO:0030104,caryopsis fruit
http://purl.obolibrary.org/obo/PO_0030100,PO:0030100,legume fruit
http://purl.obolibrary.org/obo/PECO_0007004,PECO:0007004,loam content exposure
http://purl.obolibrary.org/obo/PECO_0007050,PECO:0007050,soil texture exposure
http://purl.obolibrary.org/obo/CHEBI_30932,CHEBI:30932,trioxidophosphate(1-)
http://purl.obolibrary.org/obo/CHEBI_79389,CHEBI:79389,monovalent inorganic anion
http://purl.obolibrary.org/obo/CHEBI_33461,CHEBI:33461,phosphorus oxoanion
http://purl.obolibrary.org/obo/ENVO_01001068,ENVO:01001068,meteoroid
http://purl.obolibrary.org/obo/ENVO_01000799,ENVO:01000799,astronomical body
http://purl.obolibrary.org/obo/ENVO_01001062,ENVO:01001062,crater lake
http://purl.obolibrary.org/obo/ENVO_00000020,ENVO:00000020,lake
http://purl.obolibrary.org/obo/ENVO_01001069,ENVO:01001069,metallic material
http://purl.obolibrary.org/obo/ENVO_00010483,ENVO:00010483,environmental material
http://purl.obolibrary.org/obo/ENVO_00003859,ENVO:00003859,horse manure
http://purl.obolibrary.org/obo/ENVO_00003031,ENVO:00003031,animal manure
http://purl.obolibrary.org/obo/FOODON_00003194,FOODON:00003194,vegetarian food product
http://purl.obolibrary.org/obo/FOODON_00001002,FOODON:00001002,food product
http://purl.obolibrary.org/obo/FOODON_00002381,FOODON:00002381,food product by organism
http://purl.obolibrary.org/obo/CHEBI_37577,CHEBI:37577,heteroatomic molecular entity
http://purl.obolibrary.org/obo/CHEBI_36357,CHEBI:36357,polyatomic entity
http://purl.obolibrary.org/obo/CHEBI_37578,CHEBI:37578,halide
http://purl.obolibrary.org/obo/CHEBI_24471,CHEBI:24471,halogen molecular entity
http://purl.obolibrary.org/obo/OBI_0000202,OBI:0000202,investigation agent role
http://purl.obolibrary.org/obo/BFO_0000023,BFO:0000023,role
http://purl.obolibrary.org/obo/ENVO_01001054,ENVO:01001054,non-saline aerosol environment
http://purl.obolibrary.org/obo/ENVO_01001052,ENVO:01001052,aerosol environment
http://purl.obolibrary.org/obo/ENVO_01001057,ENVO:01001057,environment associated with a plant part or small plant
http://purl.obolibrary.org/obo/ENVO_01001110,ENVO:01001110,ecosystem
http://purl.obolibrary.org/obo/ENVO_01001053,ENVO:01001053,saline aerosol environment
http://purl.obolibrary.org/obo/ENVO_01001040,ENVO:01001040,saline environment
http://purl.obolibrary.org/obo/ENVO_01000997,ENVO:01000997,environmental system determined by a quality
http://purl.obolibrary.org/obo/ENVO_01000998,ENVO:01000998,environmental system determined by a material
http://purl.obolibrary.org/obo/ENVO_01000254,ENVO:01000254,environmental system
http://purl.obolibrary.org/obo/FOODON_03411213,FOODON:03411213,nut producing plant
http://purl.obolibrary.org/obo/FOODON_03411607,FOODON:03411607,nut or edible seed producing plant
http://purl.obolibrary.org/obo/ENVO_00003869,ENVO:00003869,straw
http://purl.obolibrary.org/obo/ENVO_0010003,ENVO:0010003,agricultural environmental material
http://purl.obolibrary.org/obo/PO_0030123,PO:0030123,panicle inflorescence
http://purl.obolibrary.org/obo/PO_0009049,PO:0009049,inflorescence
http://purl.obolibrary.org/obo/ENVO_01001044,ENVO:01001044,soil environment
http://purl.obolibrary.org/obo/ENVO_01001046,ENVO:01001046,planetary subsurface environment
http://purl.obolibrary.org/obo/ENVO_01000314,ENVO:01000314,high osmolarity environment
http://purl.obolibrary.org/obo/OBI_0001554,OBI:0001554,rate measurement datum
http://purl.obolibrary.org/obo/IAO_0000032,IAO:0000032,scalar measurement datum
http://purl.obolibrary.org/obo/ENVO_01001048,ENVO:01001048,sediment environment
http://purl.obolibrary.org/obo/ENVO_01001047,ENVO:01001047,non-saline planetary subsurface environment
http://purl.obolibrary.org/obo/PO_0030117,PO:0030117,spike inflorescence
http://purl.obolibrary.org/obo/PO_0030111,PO:0030111,pepo fruit
http://purl.obolibrary.org/obo/TO_0000633,TO:0000633,relative total dry weight
http://purl.obolibrary.org/obo/TO_0000352,TO:0000352,plant dry weight
http://purl.obolibrary.org/obo/TO_0000638,TO:0000638,spike width
